110001	SECRETARIA DE ADMINISTRACAO/PR	4	20101
110235	SECRETARIA NACIONAL DE JUVENTUDE	4	20101
110322	CASA MILITAR DA PRESIDENCIA DA REPUBLICA	4	20101
110352	SECRETARIA GERAL/PR	4	20101
110563	SECRETARIA DE RELAÇOES INSTITUCIONAIS-SRI/PR	4	20101
243001	INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI	4	20204
115406	EMPRESA BRASIL DE COMUNICACAO S.A	24	20415
110101	GABINETE DA VICE-PRESIDENCIA DA REPUBLICA	4	60101
110355	SECRETARIA DE ASSUNTOS ESTRATEGICOS-SAE/PR	4	61101
113601	INSTITUTO DE PESQUISA ECONOMICA APLICADA	4	61201
110590	SECRETARIA DE AVIAçãO CIVIL/PR	26	62101
113214	AGENCIA NACIONAL DE AVIACAO CIVIL	26	62201
113216	REPRESENTAÇÃO REGIONAL RIO DE JANEIRO - ANAC	26	62201
113217	REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC	26	62201
110581	DIVISAO DE DIARIAS E PASSAGENS DA AGU	3	63101
200016	SECRETARIA DE DIREITOS HUMANOS/PR	14	64101
200021	SECRETARIA DE POLITICAS PARA AS MULHERES	14	65101
110176	COORD.-GERAL DE REC. LOGISTICOS/DGI/SE/CGU	4	66101
110576	SPCI/ODP/RECURSOS EXTERNOS	4	66101
110629	PROG.FORTAL.PREV.COMB.CORRUP.GEST.PUBL.BRASIL	4	66101
238012	SECRETARIA DE POLIT. DE PROM.DA IGUALD.RACIAL	14	67101
110680	SECRETARIA DE PORTOS/PR	26	68101
682010	AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS	26	68201
690001	SECRETARIA DA MICRO E PEQUENA EMPRESA	4	69101
170011	SECRETARIA DO PATRIMONIO DA UNIAO	4	47101
201013	COORDENACAO DE EXECUCAO ORC. E FINANCEIRA	4	47101
114601	FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ	4	47205
114602	UNIDADE ESTADUAL DO IBGE EM RONDONIA	4	47205
114603	UNIDADE ESTADUAL DO IBGE NO ACRE	4	47205
114604	UNIDADE ESTADUAL DO IBGE NO AMAZONAS	4	47205
114605	UNIDADE ESTADUAL DO IBGE EM RORAIMA	4	47205
114606	UNIDADE ESTADUAL DO IBGE NO PARA	4	47205
114607	UNIDADE ESTADUAL DO IBGE NO AMAPA	4	47205
114608	UNIDADE ESTADUAL DO IBGE NO MARANHãO	4	47205
114609	UNIDADE ESTADUAL DO IBGE NO PIAUI	4	47205
114610	UNIDADE ESTADUAL DO IBGE NO CEARA	4	47205
114612	UNIDADE ESTADUAL DO IBGE NO RIO G. NORTE	4	47205
114613	UNIDADE ESTADUAL DO IBGE NA PARAIBA	4	47205
114614	UNIDADE ESTADUAL DO IBGE EM PERNAMBUCO	4	47205
114615	UNIDADE ESTADUAL DO IBGE EM ALAGOAS	4	47205
114616	UNIDADE ESTADUAL DO IBGE EM SERGIPE	4	47205
114617	UNIDADE ESTADUAL DO IBGE NA BAHIA	4	47205
114618	UNIDADE ESTADUAL DO IBGE EM MINAS GERAIS	4	47205
114619	UNIDADE ESTADUAL DO IBGE NO ESPIRITO SANTO	4	47205
114620	UNIDADE ESTADUAL DO IBGE NO MATO GROSSO SUL	4	47205
114622	UNIDADE ESTADUAL DO IBGE EM SAO PAULO	4	47205
114623	UNIDADE ESTADUAL DO IBGE NO PARANA	4	47205
114624	UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA	4	47205
114625	UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL	4	47205
114626	UNIDADE ESTADUAL DO IBGE NO MATO GROSSO	4	47205
114627	UNIDADE ESTADUAL DO IBGE EM GOIAS	4	47205
114631	UNIDADE ESTADUAL DO IBGE NO RIO DE JANEIRO	4	47205
114639	UNIDADE ESTADUAL DO IBGE EM TOCANTINS	4	47205
114702	FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA	4	47210
130001	MINIST.DA AGRICULT., PECUáRIA E ABASTECIMENTO	20	22101
130007	SECRETARIA DE DEFESA AGROPECUARIA/MAPA	20	22101
130010	COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/DF	20	22101
130011	INSTITUTO NACIONAL DE METEOROLOGIA	20	22101
130014	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/DF	20	22101
130016	LABORATORIO NACIONAL AGROPECUARIO/PE	20	22101
130017	LABORATORIO NACIONAL AGROPECUARIO NO PARA	20	22101
130018	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/TO	20	22101
130020	SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO	20	22101
130021	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PI	20	22101
130022	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/CE	20	22101
130023	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/RN	20	22101
130024	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PB	20	22101
130025	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PE	20	22101
130027	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AL	20	22101
130028	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/SE	20	22101
130029	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/BA	20	22101
130031	COMISSAO EXEC.DO PLANO DA LAV.CACAUEIRA/PA	20	22101
130032	LABORATORIO NACIONAL AGROPECUARIO EM GOIAS	20	22101
130056	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/MG	20	22101
130058	LABORATORIO NACIONAL AGROPECUARIO/MG	20	22101
130060	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/ES	20	22101
130062	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/MS	20	22101
130063	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/RJ	20	22101
130067	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/SP	20	22101
130069	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/MA	20	22101
130070	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PR	20	22101
130072	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/SC	20	22101
130074	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/RS	20	22101
130077	SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/MT	20	22101
